
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lg_tpu_sal_50",="lg_tpu_sal_50",="lg_tpu_sal_50",="lg_tpu_sal_50",="lg_tpu_sal_50",="lg_tpu_sal_50"

="SP_b_F16x",="-0.022",="-0.023",="-0.021",="-0.016",="0.0036",="0.0049"
="",="(0.014)",="(0.015)",="(0.015)",="(0.014)",="(0.0098)",="(0.0097)"

="SP_b_F12x",="-0.011*",="-0.0089",="-0.0077",="-0.0048",="-0.00059",="0.00057"
="",="(0.0067)",="(0.0083)",="(0.0083)",="(0.0081)",="(0.0068)",="(0.0067)"

="SP_b_F8x",="-0.0024",="-0.00082",="-0.00029",="0.0011",="0.0027",="0.0034"
="",="(0.0035)",="(0.0043)",="(0.0043)",="(0.0042)",="(0.0036)",="(0.0035)"

="SP_bx",="0.0015",="-0.0016",="-0.0013",="-0.0017",="-0.0014",="-0.0011"
="",="(0.0037)",="(0.0043)",="(0.0043)",="(0.0042)",="(0.0036)",="(0.0036)"

="SP_b_L4x",="0.0014",="-0.0058",="-0.0055",="-0.0074",="-0.0023",="-0.0032"
="",="(0.0064)",="(0.0078)",="(0.0078)",="(0.0076)",="(0.0065)",="(0.0064)"

="SP_b_L8x",="0.0021",="-0.010",="-0.010",="-0.013",="-0.0013",="-0.0028"
="",="(0.0089)",="(0.011)",="(0.011)",="(0.011)",="(0.0090)",="(0.0089)"

="SP_b_L12x",="0.0048",="-0.013",="-0.013",="-0.016",="0.0029",="0.0014"
="",="(0.011)",="(0.013)",="(0.014)",="(0.013)",="(0.011)",="(0.011)"

="SP_b_L16",="-0.0040",="-0.028*",="-0.028*",="-0.030*",="0.0093",="0.0079"
="",="(0.014)",="(0.017)",="(0.017)",="(0.017)",="(0.013)",="(0.013)"

="N",="71853",="71853",="71757",="71709",="71757",="71709"
="R-sq",="0.193",="0.215",="0.215",="0.218",="0.233",="0.236"
="DepVarMean",="5.16",="5.16",="5.16",="5.16",="5.16",="5.16"
="num_mun",="1661",="1661",="1659",="1658",="1659",="1658"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
